City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,ciudad bolivar,8.1222,-63.5497,38.45,26,41,3.36,VE,1714503931
310,aldama,22.9167,-98.0667,32.11,33,1,4.38,MX,1714503931
311,neelankarai,12.9455,80.2575,31.15,84,20,4.63,IN,1714503932
312,siwa oasis,29.2041,25.5195,29.23,17,0,2.24,EG,1714503932
313,haiku-pauwela,20.9219,-156.3051,25.12,78,20,2.57,US,1714503932
314,vorgashor,67.5833,63.95,-12.35,97,98,2.48,RU,1714503932
315,fort st. john,56.2499,-120.8529,1.94,100,100,1.03,CA,1714503932
316,thames,-37.1333,175.5333,10.26,96,43,1.1,NZ,1714503932
317,alajarvi,63.0,23.8167,3.91,91,5,1.92,FI,1714503933
318,narasannapeta,18.4167,84.05,28.99,77,26,4.85,IN,1714503933
319,zouerate,22.7187,-12.4521,25.32,13,0,5.66,MR,1714503933
320,kotlas,61.2611,46.6556,5.59,98,100,2.24,RU,1714503933
321,murray bridge,-35.1167,139.2667,9.63,86,0,1.75,AU,1714503933
322,okha,53.5739,142.9478,0.7,89,100,1.34,RU,1714503934
323,belmonte,-15.8631,-38.8828,26.55,82,4,4.0,BR,1714503934
324,namtsy,62.7161,129.6658,-11.12,98,65,1.5,RU,1714503934
325,la libertad,-2.2333,-80.9,26.39,76,44,4.36,EC,1714503934
326,inhambane,-23.865,35.3833,21.69,76,0,2.34,MZ,1714503934
327,katsuura,35.1333,140.3,19.01,94,100,4.02,JP,1714503934
328,kabo,7.6994,18.629,30.88,32,85,2.36,CF,1714503935
329,berlin,52.5244,13.4105,24.43,49,0,3.13,DE,1714503610
330,cabedelo,-6.9811,-34.8339,29.37,71,39,2.82,BR,1714503935
331,kalix,65.853,23.1565,0.81,95,100,1.79,SE,1714503935
332,tura,25.5198,90.2201,25.32,91,21,4.79,IN,1714503935
333,kapuskasing,49.4169,-82.4331,8.05,93,100,4.63,CA,1714503935
334,port saint john's,-31.6229,29.5448,24.21,53,30,2.75,ZA,1714503936
335,dyurtyuli,55.4911,54.8688,11.49,69,100,6.36,RU,1714503936
336,puerto carreno,6.189,-67.4859,32.99,58,40,3.09,CO,1714503936
337,carutapera,-1.195,-46.02,24.92,97,100,2.94,BR,1714503936
338,kharp,66.8014,65.8081,-12.38,93,40,3.65,RU,1714503936
339,gemena,3.25,19.7667,24.17,78,90,1.02,CD,1714503936
340,gadzhiyevo,69.2551,33.3362,1.01,95,100,3.38,RU,1714503937
341,cururupu,-1.8283,-44.8683,24.16,99,100,1.09,BR,1714503937
342,varberg,57.1056,12.2508,16.8,61,100,6.22,SE,1714503937
343,ilheus,-14.7889,-39.0494,28.9,74,40,3.6,BR,1714503881
344,kill devil hills,36.0307,-75.676,27.0,60,0,5.66,US,1714503937
345,amahai,-3.3333,128.9167,25.69,90,100,1.27,ID,1714503938
346,namdrik,5.5994,168.1028,28.16,84,100,9.86,MH,1714503938
347,polyarnyy,69.1989,33.4478,0.87,94,100,3.55,RU,1714503938
348,tralee,52.2704,-9.7026,8.14,93,75,0.51,IE,1714503938
349,port lincoln,-34.7333,135.8667,13.88,69,98,7.04,AU,1714503938
350,es castell,39.8795,4.2854,14.38,94,75,2.06,ES,1714503938
351,axim,4.8699,-2.2405,28.58,84,100,3.55,GH,1714503939
352,songyang,34.4553,113.0281,10.75,71,0,1.73,CN,1714503939
353,khandyga,62.6667,135.6,-13.64,98,73,1.07,RU,1714503939
354,postbauer-heng,49.3053,11.3572,20.02,75,100,1.97,DE,1714503939
355,de aar,-30.6497,24.0123,21.04,35,61,2.98,ZA,1714503939
356,alo,7.4178,6.7371,31.33,61,99,1.89,NG,1714503939
357,mul,20.0667,79.6667,35.47,26,42,2.02,IN,1714503940
358,canico,32.6333,-16.85,19.84,79,40,6.69,PT,1714503940
359,dalcahue,-42.3628,-73.7022,10.67,61,0,3.6,CL,1714503940
360,registro,-24.4875,-47.8436,34.51,39,0,1.28,BR,1714503940
361,nuuk,64.1835,-51.7216,-1.66,74,40,6.71,GL,1714503940
362,ostersund,63.1792,14.6357,11.25,40,84,1.54,SE,1714503940
363,bardai,11.65,7.2333,33.32,10,0,3.56,NG,1714503941
364,taro,-8.3862,115.28,23.0,100,100,0.32,ID,1714503941
